Date,Total Incidents,,
1/1/2016,221,,61
1/2/2016,142,,32
1/3/2016,164,,38
1/4/2016,149,,28
1/5/2016,140,,39
1/6/2016,141,,41
1/7/2016,165,,32
1/8/2016,161,,40
1/9/2016,158,,39
1/10/2016,129,,32
1/11/2016,152,,34
1/12/2016,142,,29
1/13/2016,157,,32
1/14/2016,120,,21
1/15/2016,138,,41
1/16/2016,155,,41
1/17/2016,137,,39
1/18/2016,118,,31
1/19/2016,129,,32
1/20/2016,126,,30
1/21/2016,121,,32
1/22/2016,124,,33
1/23/2016,146,,48
1/24/2016,113,,25
1/25/2016,162,,42
1/26/2016,145,,32
1/27/2016,148,,49
1/28/2016,157,,34
1/29/2016,176,,42
1/30/2016,181,,55
1/31/2016,173,,35
2/1/2016,139,,31
2/2/2016,142,,25
2/3/2016,132,,26
2/4/2016,137,,38
2/5/2016,144,,39
2/6/2016,133,,41
2/7/2016,155,,53
2/8/2016,133,,25
2/9/2016,122,,32
2/10/2016,119,,33
2/11/2016,112,,38
2/12/2016,125,,33
2/13/2016,126,,36
2/14/2016,128,,32
2/15/2016,132,,29
2/16/2016,128,,35
2/17/2016,145,,29
2/18/2016,153,,29
2/19/2016,150,,35
2/20/2016,159,,48
2/21/2016,174,,48
2/22/2016,136,,25
2/23/2016,148,,43
2/24/2016,122,,27
2/25/2016,108,,23
2/26/2016,128,,32
2/27/2016,150,,38
2/28/2016,142,,35
2/29/2016,145,,26
3/1/2016,155,,32
3/2/2016,127,,34
3/3/2016,137,,21
3/4/2016,135,,29
3/5/2016,175,,43
3/6/2016,147,,37
3/7/2016,173,,42
3/8/2016,180,,39
3/9/2016,167,,31
3/10/2016,164,,41
3/11/2016,156,,50
3/12/2016,153,,31
3/13/2016,160,,44
3/14/2016,160,,41
3/15/2016,145,,30
3/16/2016,164,,31
3/17/2016,145,,40
3/18/2016,169,,40
3/19/2016,151,,54
3/20/2016,133,,38
3/21/2016,166,,41
3/22/2016,152,,30
3/23/2016,155,,42
3/24/2016,159,,45
3/25/2016,148,,42
3/26/2016,164,,44
3/27/2016,172,,44
3/28/2016,166,,31
3/29/2016,171,,32
3/30/2016,180,,32
3/31/2016,163,,50
4/1/2016,150,,35
4/2/2016,150,,46
4/3/2016,154,,32
4/4/2016,136,,26
4/5/2016,133,,29
4/6/2016,163,,30
4/7/2016,121,,26
4/8/2016,138,,35
4/9/2016,140,,33
4/10/2016,183,,54
4/11/2016,164,,39
4/12/2016,150,,39
4/13/2016,149,,31
4/14/2016,133,,27
4/15/2016,148,,40
4/16/2016,184,,50
4/17/2016,190,,67
4/18/2016,164,,34
4/19/2016,170,,43
4/20/2016,165,,30
4/21/2016,156,,22
4/22/2016,145,,49
4/23/2016,172,,43
4/24/2016,176,,47
4/25/2016,162,,41
4/26/2016,151,,44
4/27/2016,165,,42
4/28/2016,168,,41
4/29/2016,138,,33
4/30/2016,154,,44
5/1/2016,175,,29
5/2/2016,149,,32
5/3/2016,148,,36
5/4/2016,147,,33
5/5/2016,147,,29
5/6/2016,153,,36
5/7/2016,188,,52
5/8/2016,172,,43
5/9/2016,160,,34
5/10/2016,146,,47
5/11/2016,175,,41
5/12/2016,162,,34
5/13/2016,138,,36
5/14/2016,163,,37
5/15/2016,164,,51
5/16/2016,141,,29
5/17/2016,135,,33
5/18/2016,155,,32
5/19/2016,169,,40
5/20/2016,144,,30
5/21/2016,149,,24
5/22/2016,163,,41
5/23/2016,164,,34
5/24/2016,137,,33
5/25/2016,191,,41
5/26/2016,161,,43
5/27/2016,142,,36
5/28/2016,169,,43
5/29/2016,176,,39
5/30/2016,161,,46
5/31/2016,158,,44
6/1/2016,152,,50
6/2/2016,128,,34
6/3/2016,148,,42
6/4/2016,165,,44
6/5/2016,169,,36
6/6/2016,144,,44
6/7/2016,142,,34
