Date,Total Incidents
1/1/2017,342
1/2/2017,176
1/3/2017,201
1/4/2017,163
1/5/2017,136
1/6/2017,131
1/7/2017,144
1/8/2017,136
1/9/2017,158
1/10/2017,172
1/11/2017,171
1/12/2017,169
1/13/2017,176
1/14/2017,187
1/15/2017,177
1/16/2017,186
1/17/2017,180
1/18/2017,187
1/19/2017,163
1/20/2017,168
1/21/2017,191
1/22/2017,174
1/23/2017,162
1/25/2017,170
1/26/2017,162
1/27/2017,173
1/28/2017,195
1/29/2017,170
1/30/2017,174
1/31/2017,164
2/1/2017,170
2/2/2017,141
2/3/2017,158
2/4/2017,145
2/5/2017,152
2/6/2017,172
2/7/2017,191
2/8/2017,150
2/9/2017,155
2/10/2017,155
2/11/2017,201
2/12/2017,172
2/13/2017,160
2/14/2017,168
2/15/2017,149
2/16/2017,149
2/17/2017,169
2/18/2017,175
2/19/2017,216
2/20/2017,179
2/21/2017,163
2/22/2017,175
2/23/2017,155
2/24/2017,162
2/25/2017,144
2/26/2017,128
2/27/2017,160
2/28/2017,171
3/1/2017,149
3/2/2017,152
3/3/2017,141
3/4/2017,161
3/5/2017,154
3/6/2017,145
3/7/2017,152
3/8/2017,146
3/9/2017,161
3/10/2017,132
3/11/2017,133
3/12/2017,137
3/13/2017,134
3/14/2017,127
3/15/2017,152
3/16/2017,154
3/17/2017,150
3/18/2017,162
3/19/2017,186
3/20/2017,174
3/21/2017,170
3/22/2017,171
3/23/2017,148
3/24/2017,175
3/25/2017,202
3/26/2017,206
3/27/2017,178
3/28/2017,181
3/29/2017,206
3/30/2017,196
3/31/2017,159
4/1/2017,170
4/2/2017,196
4/3/2017,172
4/4/2017,200
4/5/2017,174
4/6/2017,165
4/7/2017,176
4/8/2017,191
4/9/2017,207
4/10/2017,193
4/11/2017,184
4/12/2017,200
4/13/2017,197
4/14/2017,196
4/15/2017,200
4/16/2017,229
4/17/2017,180
4/18/2017,178
4/19/2017,179
4/20/2017,161
4/21/2017,167
4/22/2017,222
4/23/2017,204
4/24/2017,173
4/25/2017,173
4/26/2017,192
4/27/2017,167
4/28/2017,165
4/29/2017,183
4/30/2017,183
5/1/2017,176
5/2/2017,168
5/3/2017,185
5/4/2017,120
5/5/2017,177
5/6/2017,161
5/7/2017,216
5/8/2017,195
5/9/2017,178
5/10/2017,172
5/11/2017,162
5/12/2017,170
5/13/2017,204
5/14/2017,185
5/15/2017,187
5/16/2017,197
5/17/2017,190
5/18/2017,164
5/19/2017,168
5/20/2017,168
5/21/2017,191
5/22/2017,172
5/23/2017,174
5/24/2017,186
5/25/2017,170
5/26/2017,181
5/27/2017,217
5/28/2017,242
5/29/2017,217
5/30/2017,201
5/31/2017,172
6/1/2017,159
6/2/2017,193
6/3/2017,180
6/4/2017,176
6/5/2017,169
6/6/2017,187
6/7/2017,168
6/8/2017,186
6/9/2017,139
6/10/2017,153
6/11/2017,194
6/12/2017,162
6/13/2017,168
6/14/2017,135
6/15/2017,184
6/16/2017,148
6/17/2017,206
6/18/2017,190
6/19/2017,185
6/20/2017,178
6/21/2017,175
6/22/2017,158
6/23/2017,161
6/24/2017,182
6/25/2017,178
6/26/2017,164
6/27/2017,162
6/28/2017,205
6/29/2017,168
6/30/2017,145
7/1/2017,176
7/2/2017,204
7/3/2017,165
7/4/2017,248
7/5/2017,209
7/6/2017,175
7/7/2017,172
7/8/2017,184
7/9/2017,208
7/10/2017,170
7/11/2017,169
7/12/2017,184
7/13/2017,166
7/14/2017,161
7/15/2017,183
7/16/2017,194
7/17/2017,181
7/18/2017,162
7/19/2017,198
7/20/2017,157
7/21/2017,153
7/22/2017,155
7/23/2017,192
7/24/2017,154
7/25/2017,201
7/26/2017,168
7/27/2017,155
7/28/2017,161
7/29/2017,166
7/30/2017,205
7/31/2017,171
8/1/2017,176
8/2/2017,166
8/3/2017,195
8/4/2017,158
8/5/2017,193
8/6/2017,196
8/7/2017,167
8/8/2017,183
8/9/2017,156
8/10/2017,151
8/11/2017,165
8/12/2017,160
8/13/2017,192
8/14/2017,170
8/15/2017,202
8/16/2017,133
8/17/2017,148
8/18/2017,156
8/19/2017,170
8/20/2017,191
8/21/2017,161
8/22/2017,148
8/23/2017,187
8/24/2017,150
8/25/2017,158
8/26/2017,150
8/27/2017,180
8/28/2017,160
8/29/2017,170
8/30/2017,152
8/31/2017,158
9/1/2017,162
9/2/2017,143
9/3/2017,206
9/4/2017,172
9/5/2017,142
9/6/2017,130
9/7/2017,133
9/8/2017,129
9/9/2017,160
9/10/2017,126
9/11/2017,135
9/12/2017,166
9/13/2017,140
9/14/2017,158
9/15/2017,160
9/16/2017,153
9/17/2017,194
9/18/2017,159
9/19/2017,170
9/20/2017,173
9/21/2017,162
9/22/2017,162
9/23/2017,188
9/24/2017,206
9/25/2017,162
9/26/2017,149
9/27/2017,164
9/28/2017,143
9/29/2017,181
9/30/2017,162
10/1/2017,171
10/2/2017,164
10/3/2017,170
10/4/2017,172
10/5/2017,165
10/6/2017,163
10/7/2017,175
10/8/2017,179
10/9/2017,160
10/10/2017,162
10/11/2017,133
10/12/2017,146
10/13/2017,167
10/14/2017,197
10/15/2017,168
10/16/2017,154
10/17/2017,138
10/18/2017,174
10/19/2017,157
10/20/2017,175
10/21/2017,220
10/22/2017,167
10/23/2017,168
10/24/2017,144
10/25/2017,174
10/26/2017,181
10/27/2017,158
10/28/2017,178
10/29/2017,191
10/30/2017,145
10/31/2017,185
11/1/2017,182
11/2/2017,142
11/3/2017,167
11/4/2017,186
11/5/2017,199
11/6/2017,130
11/7/2017,160
11/8/2017,144
11/9/2017,137
11/10/2017,146
11/11/2017,164
11/12/2017,171
11/13/2017,175
11/14/2017,156
11/15/2017,142
11/16/2017,151
11/17/2017,141
11/18/2017,187
11/19/2017,175
11/20/2017,129
11/21/2017,154
11/22/2017,142
11/23/2017,133
11/24/2017,170
11/25/2017,180
11/26/2017,185
11/27/2017,181
11/28/2017,158
11/29/2017,172
11/30/2017,143
12/1/2017,161
12/2/2017,168
12/3/2017,154
12/4/2017,138
12/5/2017,151
12/6/2017,146
12/7/2017,155
12/8/2017,131
12/9/2017,141
12/10/2017,154
12/11/2017,174
12/12/2017,151
12/13/2017,168
12/14/2017,118
12/15/2017,130
12/16/2017,164
12/17/2017,170
12/18/2017,153
12/19/2017,186
12/20/2017,159
12/21/2017,151
12/22/2017,169
12/23/2017,157
12/24/2017,133
12/25/2017,119
12/26/2017,151
12/27/2017,135
12/28/2017,119
12/29/2017,119
12/30/2017,145
12/31/2017,152
