State,Law Rating,Abbreviations,Law Rating Ranked,Incidents
Alabama,1,AL,36,5471
Alaska,1,AK,44,1349
Arizona,1,AZ,47,2328
Arkansas,1,AR,39,2842
California,5,CA,1,16306
Colorado,3,CO,15,3201
Connecticut,5,CT,3,3067
Delaware,4,DE,11,1685
Florida,1,FL,26,15029
Georgia,1,GA,32,8925
Hawaii,5,HI,7,289
Idaho,1,ID,46,661
Illinois,4,IL,8,17556
Indiana,2,IN,23,5852
Iowa,3,IA,18,2517
Kansas,1,KS,48,2145
Kentucky,1,KY,42,4157
Louisiana,1,LA,43,8103
Maine,1,ME,35,907
Maryland,5,MD,6,5798
Massachusetts,5,MA,4,5981
Michigan,3,MI,16,6136
Minnesota,3,MN,12,2408
Mississippi,1,MS,50,3599
Missouri,1,MO,48,6631
Montana,1,MT,37,638
Nebraska,2,NE,19,1651
Nevada,2,NV,22,1953
New Hampshire,1,NH,31,964
New Jersey,5,NJ,2,5387
New Mexico,1,NM,29,1645
New York,5,NY,5,9712
North Carolina,2,NC,25,8739
North Dakota,1,ND,37,573
Ohio,2,OH,21,10244
Oklahoma,1,OK,27,3455
Oregon,3,OR,14,2286
Pennsylvania,3,PA,13,8929
Rhode Island,4,RI,9,895
South Carolina,1,SC,29,6939
South Dakota,1,SD,40,544
Tennessee,2,TN,24,7626
Texas,1,TX,32,13577
Utah,1,UT,27,1072
Vermont,1,VT,41,472
Virginia,2,VA,20,5949
Washington,4,WA,10,3434
West Virginia,1,WV,32,1575
Wisconsin,3,WI,17,4787
Wyoming,1,WY,45,494
